job_id,title,job_field,company,salary_max,salary_min,salary_negotiable,location_city,posted_date,skills,industry,job_level,source
tcv_1970,Thiết kế đồ họa (Graphic Design),Design,CÔNG TY TNHH NƯỚC MẮM CANA,3000000.0,2000000.0,0.0,Hồ Chí Minh,17/09/2025,"['Adobe Photoshop', 'Adobe Illustrator', 'Tư duy sáng tạo', 'Kỹ Năng Thiết Kế', 'Kỹ năng giao tiếp']",['Chuyên môn Thiết kế đồ họa (Graphic Design)'],Intern,TopCV
tcv_1971,Business Analyst (Phân tích nghiệp vụ),Data,Công ty TNHH HQSOFT,0.0,0.0,1.0,Hồ Chí Minh,20/09/2025,"['Phân Tích Nghiệp Vụ', 'Quản lý nhóm ', 'Giao tiếp', 'Lập Kế Hoạch', 'Quản Lý Dự Án']","['Chuyên môn Business Analyst (Phân tích nghiệp vụ)', 'IT - Phần mềm', 'Bán lẻ - Hàng tiêu dùng - FMCG', 'Nghỉ thứ 7']",Mid,TopCV
tcv_1972,IT Consultant,Business,CELLPHONES,20000000.0,12000000.0,0.0,Hồ Chí Minh,25/09/2025,"['ERP', 'ERP Software']","['Chuyên môn IT Consultant', 'IT - Phần mềm', 'Thương mại điện tử', 'Bán lẻ - Hàng tiêu dùng - FMCG']",Intern,TopCV
tcv_1973,Product Owner/Product Manager,Infrastructure,CÔNG TY CỔ PHẦN IKAME GLOBAL,60000000.0,60000000.0,0.0,Hà Nội,30/11/2025,"['Product Strategy', 'Mobile App Development Lifecycle', 'User Research', 'Data Analysis', 'A B Testing', 'Leadership', 'Ux Ui Design Principles', 'Mobile App Marketing', 'Competitive Analysis', 'Technical Proficiency (understanding Of Mobile Technologies)', 'Prototyping', 'Market Analysis', 'Project Management', 'Problem-solving']","['Chuyên môn Product Owner/Product Manager', 'IT - Phần mềm', 'Nghỉ thứ 7']",Manager,TopCV
tcv_1974,Illustration,Design,CÔNG TY TNHH THỜI TRANG ODC VIỆT NAM,8000000.0,8000000.0,0.0,Đà Nẵng,10/09/2025,"['Thiết kế đồ họa', 'Sử Dụng Thành Thạo Photoshop', 'Sử Dụng Thành Thạo Illustrator', 'Hiểu Biết Về Bố Cục, Màu Sắc, Typography', 'Thiết Kế Ảnh Sản Phẩm', 'Kỹ năng giải quyết vấn đề', 'Chụp Ảnh Sản Phẩm', 'Cập Nhật Xu Hướng Thiết Kế', 'Hiểu Biết Về Các Kênh Tmđt (shopee, Lazada, Tiki,...)', 'Hiểu Biết Về Các Quy Định Thiết Kế Của Các Sàn Tmđt']","['Chuyên môn Illustration', 'Thiết kế / Kiến trúc', 'Tuổi 23 - 30']",Intern,TopCV
tcv_1975,Backend Developer,Developer,CÔNG TY TNHH HÓA ĐƠN ĐIỆN TỬ M-INVOICE,20000000.0,8000000.0,0.0,Hà Nội,26/09/2025,"['C#', '.net Framework .net Core .net', 'Thiết Kế Cơ Sở Dữ Liệu', 'Asp.net Mvc Asp.net Core Mvc', 'Sql Server T Sql']",['Chuyên môn Backend Developer'],Junior,TopCV
tcv_1976,Business Analyst (Phân tích nghiệp vụ),Data,CÔNG TY CỔ PHẦN TRUYỀN THÔNG VĂN HOÁ VIỆT,30000000.0,20000000.0,0.0,Hà Nội,05/09/2025,"['Làm việc nhóm', 'Giao tiếp', 'Lập Kế Hoạch', 'Quản Lý Dự Án', 'Phân Tích Nghiệp Vụ']","['Chuyên môn Business Analyst (Phân tích nghiệp vụ)', 'IT - Phần mềm']",Mid,TopCV
tcv_1977,Kinh doanh Domain/Hosting/Server,Data,CÔNG TY TNHH P.A VIỆT NAM,50000000.0,10000000.0,0.0,"Hồ Chí Minh, Hà Nội",14/09/2025,"['Kỹ năng đàm phán', 'Kỹ năng bán hàng', 'Kỹ Năng Giao Tiếp Và Thuyết Trình', 'Kỹ Năng Xây Dựng Mối Quan Hệ Khách Hàng', 'Hiểu Biết Về Tên Miền, Hosting, Server']","['Chuyên môn Kinh doanh Domain/Hosting/Server', 'B2B', 'B2C', 'B2G', 'IT - Phần mềm']",Intern,TopCV
tcv_1978,Software Engineer,Developer,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,40000000.0,15000000.0,0.0,Hà Nội,14/09/2025,[],['Chuyên môn Software Engineer'],Junior,TopCV
tcv_1979,Công nghệ thông tin khác,Other,Công ty Cổ phần VNEXT SOFTWARE,0.0,0.0,1.0,Nhật Bản,30/09/2025,"['Giao tiếp', 'Quản Lý Dự Án', 'Lãnh đạo', 'Giải quyết vấn đề', 'Quản Lý Rủi Ro']","['Chuyên môn Công nghệ thông tin khác', 'IT - Phần mềm', 'Tiếng Nhật JLPT N2']",Mid,TopCV
tcv_1980,Solution Architect,DevOps,"TECHVIFY SOFTWARE., JSC",80000000.0,80000000.0,0.0,Hà Nội,26/09/2025,"['Thiết Kế Hệ Thống', 'phân tích yêu cầu', 'Quản Lý Dự Án', 'Giao tiếp', 'Giải quyết vấn đề']","['Chuyên môn Solution Architect', 'Nghỉ thứ 7']",Mid,TopCV
