job_id,title,job_domain,company_name,company_url,city,work_mode,employment_type,salary_min,salary_max,is_negotiable,benefits,skills_raw,skills_standardized,experience_min_years,experience_max_years,experience_level,posted_date,deadline_date,source,industry
75,system administrator,Other,Chương trình Học viện Công nghệ BKACAD,https://careerviet.vn/vi/nha-tuyen-dung/chuong-trinh-hoc-vien-cong-nghe-bkacad.35A8AC04.html,Hà Nội,,Full-time,20000000,60000000,0,"['Bảo hiểm', 'Đào tạo', 'Du lịch', 'Phụ cấp', 'Thưởng']",['go'],['go'],0,0,Intern,16/08/2025,2025-10-09 00:00:00,CareViet,['IT Support']
76,flutter developer,Mobile,Hệ thống Y tế Thu Cúc,https://careerviet.vn/vi/nha-tuyen-dung/he-thong-y-te-thu-cuc.35A70D0B.html,Hà Nội,,Full-time,0,0,1,['Đào tạo'],"['java', 'react']","['java', 'react']",1,3,Junior,21/08/2025,19/09/2025,CareViet,['IT/Software']
77,robot process automation developer,Other,CÔNG TY TNHH SOCOTEC VIỆT NAM,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-tnhh-socotec-viet-nam.35A9E621.html,Hà Nội,,Full-time,0,0,1,[],[],[],3,8,Middle,21/08/2025,19/09/2025,CareViet,['IT/Software']
78,it section,Other,CÔNG TY TRÁCH NHIỆM HỮU HẠN SÀI GÒN PRECISION,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-trách-nhiẹm-hũu-hạn-sài-gòn-precision.35A4FD44.html,Hồ Chí Minh,,Full-time,0,0,1,[],[],[],3,5,Middle,21/08/2025,19/09/2025,CareViet,['IT/Software']
79,phát triển và triển khai chuyển đổi số,Other,Xuân Cầu Holdings,https://careerviet.vn/vi/nha-tuyen-dung/xuan-cau-holdings.35A80ACC.html,Hà Nội,,Full-time,0,0,1,['Đào tạo'],[],[],1,1,Junior,21/08/2025,19/09/2025,CareViet,['Other']
,,,,,,,,,,,,,,,,,,,CareViet,['Other']
81,it office factory division,Other,Công ty TNHH Charming Trim & Packaging (VN),https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-tnhh-charming-trim-packaging-vn.35AA02AD.html,Bình Dương,,Full-time,0,0,1,[],['go'],['go'],2,5,Middle,21/08/2025,19/09/2025,CareViet,['IT/Software']
,,,,,,,,,,,,,,,,,,,CareViet,['Other']
83,data scientist,AI/ML,Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,https://careerviet.vn/vi/nha-tuyen-dung/ngan-hang-tmcp-viet-nam-thinh-vuong-vpbank.35A6CA10.html,Hà Nội,,Full-time,0,0,1,['Đào tạo'],"['python', 'go']","['python', 'go']",3,5,Middle,21/08/2025,19/09/2025,CareViet,['Other']
84,erp developers,Other,Công ty TNHH MTV Sen Vàng Việt Nam,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-tnhh-mtv-sen-vang-viet-nam.35A8D1C3.html,Hồ Chí Minh,,Full-time,0,0,1,[],"['java', 'c#', 'javascript', 'sql', 'html', 'css', 'react', 'angular']","['java', 'c#', 'javascript', 'sql', 'html', 'css', 'react', 'angular']",3,5,Middle,21/08/2025,19/09/2025,CareViet,['IT/Software']
