job_id,title,job_field,company,salary_max,salary_min,salary_negotiable,location_city,deadline,skills,industry,experience_min,experience_max,job_level,source
TCV1133,Data Labeling (Gán nhãn dữ liệu),data,CÔNG TY CỔ PHẦN DỊCH VỤ DI ĐỘNG THỂ HỆ MỚI (NMS),6000000,6000000,0,"Hà Nội, Hồ Chí Minh",31/10/2025,"['Khả Năng Tập Trung Cao', 'Chú Ý Đến Chi Tiết', 'Sử Dụng Máy Tính Cơ Bản', 'Đọc Hiểu Văn Bản']",['Chuyên môn Data Labeling (Gán nhãn dữ liệu)'],0,0.0,Intern,TopCV
TCV1134,Thiết kế đồ họa (Graphic Design),design,CÔNG TY TNHH TƯ VẤN TRUYỀN THÔNG BONET,0,0,1,Hồ Chí Minh,21/09/2025,"['Thiết kế đồ họa', 'Video Editor', 'Sáng tạo', 'Sử Dụng Phần Mềm Thiết Kế (adobe Photoshop, Illustrator, Indesign)', 'Tư Duy Thẩm Mỹ', 'Kỹ Năng Bố Cục']","['Chuyên môn Thiết kế đồ họa (Graphic Design)', 'Marketing / Quảng cáo']",0,1.0,Intern,TopCV
TCV1135,Công nghệ thông tin khác,other,CÔNG TY CỔ PHẦN ORENDA,0,0,1,Hà Nội,30/09/2025,"['C#', 'Tư duy logic', 'Lập Trình Hướng Đối Tượng (oop)', 'Kiến Thức Về Cấu Trúc Dữ Liệu Và Giải Thuật', '.net Framework Core']","['Chuyên môn Công nghệ thông tin khác', 'IT - Phần mềm', 'IT - Phần cứng và máy tính', 'Nghỉ thứ 7']",0,1.0,Intern,TopCV
TCV1136,Thiết kế đồ họa (Graphic Design),design,Công ty cổ phần Orion Media,2000000,2000000,0,Hà Nội,20/09/2025,,['Chuyên môn Thiết kế đồ họa (Graphic Design)'],0,1.0,Intern,TopCV
TCV1137,Thiết kế đồ họa (Graphic Design),design,Công ty Cổ phần BMC Việt Nam,15000000,9000000,0,Long An,30/08/2025,"['Khả Năng Làm Việc Độc Lập Và Nhóm', 'Sử Dụng Thành Thạo Phần Mềm Thiết Kế Đồ Họa (photoshop, Illustrator, Indesign,...)', 'Khả Năng Sáng Tạo Và Tư Duy Hình Ảnh Tốt', 'Hiểu Biết Về Nguyên Tắc Thiết Kế (màu Sắc, Bố Cục, Typography)', 'Khả Năng Quản Lý Thời Gian Và Làm Việc Hiệu Quả Dưới Áp Lực']","['Chuyên môn Thiết kế đồ họa (Graphic Design)', 'Tuổi 22 - 35']",1,1.0,Junior,TopCV
TCV1138,Software Engineer,developer,CÔNG TY TNHH ZINZA TECHNOLOGY,35000000,28000000,0,Hà Nội,04/09/2025,"['Kiến Trúc Phần Mềm', 'Kiểm Thử Phần Mềm (unit Testing, Integration Testing)', 'Kiến Thức Về Cơ Sở Dữ Liệu (sql, Nosql)', 'Quản Lý Dự Án Agile', 'Lập Trình Javascript (es6 Trở Lên)']","['Chuyên môn Software Engineer', 'IT - Phần mềm', 'Nghỉ thứ 7']",4,4.0,Mid,TopCV
TCV1139,Business Analyst (Phân tích nghiệp vụ),data,CÔNG TY CỔ PHẦN TRUYỀN THÔNG DU LỊCH VIỆT,15000000,12000000,0,Hồ Chí Minh,30/09/2025,"['Làm việc nhóm', 'Giao tiếp', 'Phân Tích Nghiệp Vụ', 'phân tích yêu cầu', 'Giải quyết vấn đề', 'Mô Hình Hóa Dữ Liệu', 'Viết Tài Liệu Đặc Tả', 'kỹ năng quản lý thời gian', 'kỹ năng thuyết trình', 'Kỹ Năng Quản Lý Dự Án', 'Kỹ Năng Kiểm Thử Phần Mềm', 'Kiến Thức Về Các Ngôn Ngữ Lập Trình']","['Chuyên môn Business Analyst (Phân tích nghiệp vụ)', 'IT - Phần cứng và máy tính', 'IT - Phần mềm', 'Tuổi 25 - 35']",3,3.0,Junior,TopCV
TCV1140,Manual Tester,tester,CÔNG TY CỔ PHẦN CÔNG NGHỆ ALPHAWAY,21000000,17000000,0,Hà Nội,25/09/2025,"['Kiến Thức Về Kiểm Thử Phần Mềm', 'Kỹ Năng Viết Test Case', 'Kỹ Năng Thực Hiện Test Case', 'Kỹ Năng Báo Cáo Lỗi', 'Kỹ Năng Phân Tích Yêu Cầu']","['Chuyên môn Manual Tester', 'Nghỉ thứ 7']",2,2.0,Junior,TopCV
TCV1141,Software Tester (Automation & Manual),developer,CÔNG TY TNHH MUMESOFT INNOVATION,0,0,1,Hà Nội,07/09/2025,"['phân tích yêu cầu', 'Kiểm thử phần mềm', 'Thực Hiện Test Case', 'Báo Cáo Lỗi', 'Thiết Kế Test Case']","['Chuyên môn Software Tester (Automation & Manual)', 'IT - Phần mềm', 'Nghỉ thứ 7']",4,4.0,Mid,TopCV
TCV1142,Thiết kế đồ họa (Graphic Design),design,CÔNG TY TNHH CÔNG NGHỆ VÀ TRUYỀN THÔNG IIT,8000000,2500000,0,Hà Nội,30/08/2025,"['Designer', 'Photoshop', 'AI', 'Ui Ux Design']","['Chuyên môn Thiết kế đồ họa (Graphic Design)', 'Marketing / Quảng cáo', 'Thiết kế / Kiến trúc']",0,0.0,Intern,TopCV
