Gia_tri,So_luong
"['marketing / quảng cáo', 'thiết kế / kiến trúc', 'bán lẻ - hàng tiêu dùng - fmcg']",1
"['direct sales', 'telesales', 'b2b', 'it - phần mềm', 'điện / điện tử / điện lạnh', 'sản xuất ', 'có hỗ trợ data', 'tiếng anh giao tiếp thành thạo']",1
"['it - phần cứng và máy tính', 'viễn thông', 'an ninh mạng', 'tiếng anh giao tiếp cơ bản', 'từ 25 tuổi trở lên']",1
"['direct sales', 'b2b', 'it - phần mềm', 'sản xuất ', 'thương mại điện tử']",1
"['thương mại điện tử', 'it - phần mềm', 'tiếng anh giao tiếp cơ bản', 'tuổi 20 - 27']",1
"['it - phần mềm', 'tiếng anh toeic 500', 'từ 35 tuổi trở xuống']",1
"['bán lẻ - hàng tiêu dùng - fmcg', 'thực phẩm / đồ uống', 'in ấn / xuất bản']",1
"['it - phần cứng và máy tính', 'it - phần mềm', 'logistic / vận tải']",1
['từ 35 tuổi trở xuống'],1
"['it - phần mềm', 'tuổi 23 - 28']",1
"['thiết kế / kiến trúc', 'nhà hàng / khách sạn']",1
"['bán lẻ - hàng tiêu dùng - fmcg', 'thiết kế / kiến trúc', 'thực phẩm / đồ uống', 'tuổi 22 - 36']",1
"['marketing / quảng cáo', 'thiết kế / kiến trúc', 'tuổi 20 - 23']",1
"['b2b', 'b2c', 'b2g', 'có hỗ trợ data']",1
"['b2b', 'b2c', 'thương mại điện tử', 'marketing / quảng cáo', 'it - phần mềm', 'có hỗ trợ data']",1
"['marketing / quảng cáo', 'mỹ thuật / nghệ thuật / điện ảnh', 'công nghệ kỹ thuật']",1
"['telesales', 'b2b', 'marketing / quảng cáo', 'có hỗ trợ data', 'làm tại nhà', 'phát âm chuẩn', 'tuổi 18 - 40']",1
"['bán lẻ - hàng tiêu dùng - fmcg', 'chăm sóc sức khỏe / làm đẹp', 'tuổi 20 - 30']",1
"['it - phần mềm', 'marketing / quảng cáo', 'logistic / vận tải', 'tuổi 25 - 30']",1
"['ngân hàng', 'tài chính', 'it - phần mềm', 'tuổi 25 - 35']",1
"['bán lẻ - hàng tiêu dùng - fmcg', 'marketing / quảng cáo', 'chăm sóc sức khỏe / làm đẹp']",1
"['bất động sản', 'tuổi 21 - 24']",1
"['it - phần mềm', 'marketing / quảng cáo', 'game']",1
"['it - phần cứng và máy tính', 'it - phần mềm', 'bán lẻ - hàng tiêu dùng - fmcg']",1
"['b2b', 'b2c', 'có hỗ trợ data', 'tuổi 21 - 25']",1
